"","Mean","SD","Time-series SE","2.5%","50%","97.5%","n_eff","R-hat"
"pip[2, 89]",0.486,0.5,0.006,0,0,1,7216,1
"pip[2, 90]",0.482,0.5,0.006,0,0,1,7740,1
"pip[2, 91]",0.482,0.5,0.006,0,0,1,6529,1.001
"pip[2, 92]",0.744,0.437,0.015,0,1,1,542,1.006
"pip[2, 93]",0.491,0.5,0.006,0,0,1,5486,1
"pip[2, 94]",0.478,0.5,0.006,0,0,1,5707,1
"pip[2, 95]",0.786,0.41,0.014,0,1,1,589,1.006
"pip[2, 96]",0.44,0.496,0.008,0,0,1,3467,1
"pip[2, 97]",0.449,0.497,0.008,0,0,1,3531,1.001
"pip[2, 98]",0.476,0.499,0.008,0,0,1,3328,1
"pip[2, 99]",0.542,0.498,0.008,0,1,1,3714,1
"pip[2, 100]",0.446,0.497,0.006,0,0,1,4838,1
"pip[2, 101]",0.387,0.487,0.007,0,0,1,3026,1.001
"pip[2, 102]",0.587,0.492,0.016,0,1,1,177,1.005
"pip[2, 103]",0.408,0.491,0.012,0,0,1,808,1.002
"pip[2, 104]",0.42,0.494,0.007,0,0,1,3456,1.001
"pip[2, 105]",0.484,0.5,0.006,0,0,1,8117,1
"pip[2, 106]",0.392,0.488,0.009,0,0,1,1633,1.002
"pip[2, 107]",0.463,0.499,0.006,0,0,1,5341,1.001
"pip[2, 108]",0.758,0.428,0.021,0,1,1,169,1.029
"pip[2, 109]",0.498,0.5,0.006,0,0,1,6887,1
"pip[2, 110]",0.342,0.475,0.009,0,0,1,1288,1.002
"pip[2, 111]",0.488,0.5,0.012,0,0,1,416,1.004
"pip[2, 112]",0.462,0.499,0.006,0,0,1,5344,1.001
"pip[2, 113]",0.531,0.499,0.007,0,1,1,5853,1.001
"pip[2, 114]",0.926,0.261,0.01,0,1,1,190,1.003
"pip[2, 115]",0.736,0.441,0.014,0,1,1,948,1.004
"pip[2, 116]",0.368,0.482,0.01,0,0,1,1562,1
"pip[2, 117]",0.482,0.5,0.006,0,0,1,7864,1
"pip[2, 118]",0.437,0.496,0.009,0,0,1,2058,1.001
"pip[2, 119]",0.491,0.5,0.006,0,0,1,6316,1
"pip[2, 120]",0.518,0.5,0.007,0,1,1,4924,1.001
"pip[2, 121]",0.454,0.498,0.006,0,0,1,7218,1
"pip[2, 122]",0.624,0.484,0.012,0,1,1,1525,1.002
"pip[2, 123]",0.51,0.5,0.006,0,1,1,6628,1
"pip[2, 124]",0.682,0.466,0.009,0,1,1,1794,1.002
"pip[2, 125]",0.495,0.5,0.007,0,0,1,5645,1.001
"pip[2, 126]",0.501,0.5,0.006,0,1,1,5708,1
"pip[2, 127]",0.541,0.498,0.007,0,1,1,4235,1.001
"pip[2, 128]",0.485,0.5,0.007,0,0,1,5116,1
"pip[2, 129]",0.477,0.5,0.006,0,0,1,6485,1
"pip[2, 130]",0.451,0.498,0.006,0,0,1,5838,1
"pip[2, 131]",0.478,0.5,0.006,0,0,1,6739,1
"pip[2, 132]",0.437,0.496,0.006,0,0,1,5765,1.001
"pip[2, 133]",0.462,0.499,0.007,0,0,1,5478,1
"pip[2, 134]",0.525,0.499,0.006,0,1,1,3787,1
"pip[2, 135]",0.418,0.493,0.007,0,0,1,4656,1
"pip[2, 136]",0.463,0.499,0.006,0,0,1,6617,1
"pip[2, 137]",0.452,0.498,0.007,0,0,1,3665,1.002
"pip[2, 138]",0.471,0.499,0.006,0,0,1,6843,1
"pip[2, 139]",0.47,0.499,0.006,0,0,1,4717,1
"pip[2, 140]",0.528,0.499,0.006,0,1,1,5573,1.001
"pip[2, 141]",0.521,0.5,0.007,0,1,1,4990,1
"pip[2, 142]",0.488,0.5,0.006,0,0,1,7678,1
"pip[2, 143]",0.413,0.492,0.007,0,0,1,4222,1.001
"pip[2, 144]",0.483,0.5,0.006,0,0,1,7767,1
"pip[2, 145]",0.445,0.497,0.005,0,0,1,7174,1
"pip[2, 146]",0.448,0.497,0.006,0,0,1,4823,1
"pip[2, 147]",0.488,0.5,0.006,0,0,1,8181,1
"pip[2, 148]",0.564,0.496,0.007,0,1,1,4148,1
"pip[2, 149]",0.624,0.484,0.008,0,1,1,3158,1.001
"pip[2, 150]",0.479,0.5,0.01,0,0,1,910,1.001
"pip[2, 151]",0.477,0.5,0.006,0,0,1,7463,1
"pip[2, 152]",0.442,0.497,0.006,0,0,1,5299,1
"pip[2, 153]",0.661,0.473,0.009,0,1,1,1641,1.002
"pip[2, 154]",0.484,0.5,0.008,0,0,1,3077,1.003
"pip[2, 155]",0.512,0.5,0.006,0,1,1,5222,1.001
"pip[2, 156]",0.482,0.5,0.006,0,0,1,7795,1
"pip[2, 157]",0.507,0.5,0.006,0,1,1,5722,1
"pip[2, 158]",0.487,0.5,0.006,0,0,1,7644,1
"pip[2, 159]",0.423,0.494,0.006,0,0,1,6119,1
"pip[2, 160]",0.503,0.5,0.006,0,1,1,5912,1
"scl_Intc",-0.235,0.009,0,-0.253,-0.235,-0.217,544,1.017
